drug	organism	mg_per_L	comment
Amikacin	Acinetobacter baumannii	8	NA
Amikacin	Acinetobacter pittii	NA	insufficient data
Amikacin	Aeromonas caviae	NA	unspecified
Amikacin	Aeromonas hydrophila	NA	unspecified
Amikacin	Aeromonas veronii	NA	unspecified
Amikacin	Alcaligenes faecalis	NA	insufficient data
Amikacin	Chryseobacterium spp	NA	insufficient data
Amikacin	Citrobacter amalonaticus	NA	insufficient data
Amikacin	Citrobacter braakii	NA	insufficient data
Amikacin	Citrobacter freundii	8	NA
Amikacin	Citrobacter koseri	4	tentative
Amikacin	Enterobacter amnigenus	NA	insufficient data
Amikacin	Enterobacter asburiae	NA	insufficient data
Amikacin	Enterobacter cloacae	8	NA
Amikacin	Enterobacter sakazakii	NA	insufficient data
Amikacin	Enterococcus faecalis	NA	insufficient data
Amikacin	Enterococcus faecium	NA	insufficient data
Amikacin	Escherichia coli	8	NA
Amikacin	Escherichia coli ATCC 25922	8	tentative
Amikacin	Escherichia coli NCTC 13846	8	tentative
Amikacin	Haemophilus influenzae	NA	insufficient data
Amikacin	Klebsiella aerogenes	8	NA
Amikacin	Klebsiella oxytoca	8	NA
Amikacin	Klebsiella ozaenae	NA	insufficient data
Amikacin	Klebsiella pneumoniae	8	NA
Amikacin	Lactobacillus reuteri	NA	insufficient data
Amikacin	Morganella morganii	8	tentative
Amikacin	Mycobacterium abscessus	64	NA
Amikacin	Mycobacterium avium	64	NA
Amikacin	Mycobacterium avium ATCC 700898	NA	unspecified
Amikacin	Mycobacterium intracellulare	64	NA
Amikacin	Mycobacterium tuberculosis	4	tentative
Amikacin	Mycobacterium tuberculosis 7H9	4	tentative
Amikacin	Nocardia abscessus	NA	insufficient data
Amikacin	Nocardia cyriacigeorgica	NA	insufficient data
Amikacin	Plesiomonas shigelloides	NA	insufficient data
Amikacin	Proteus mirabilis	16	NA
Amikacin	Proteus vulgaris	8	NA
Amikacin	Pseudomonas aeruginosa	16	NA
Amikacin	Pseudomonas aeruginosa ATCC 27853	NA	insufficient data
Amikacin	Pseudomonas putida group	NA	insufficient data
Amikacin	Pseudomonas stutzeri group	NA	insufficient data
Amikacin	Salmonella enterica	4	tentative
Amikacin	Serratia marcescens	8	NA
Amikacin	Staphylococcus aureus	16	NA
Amikacin	Staphylococcus capitis	NA	insufficient data
Amikacin	Staphylococcus epidermidis	NA	insufficient data
Amikacin	Staphylococcus haemolyticus	NA	insufficient data
Amikacin	Staphylococcus hominis	NA	insufficient data
Amikacin	Staphylococcus warneri	NA	insufficient data
Amikacin	Yersinia enterocolitica	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Actinobacillus pleuropneumoniae	1	tentative
Amoxicillin-Clavulanic acid (fixed)	Bacteroides fragilis group	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Burkholderia pseudomallei	8	NA
Amoxicillin-Clavulanic acid (fixed)	Enterococcus faecalis	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Escherichia coli	8	tentative
Amoxicillin-Clavulanic acid (fixed)	Escherichia coli ATCC 25922	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Haemophilus influenzae	2	tentative
Amoxicillin-Clavulanic acid (fixed)	Haemophilus influenzae ATCC 49247	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Haemophilus influenzae ATCC 49766	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Klebsiella pneumoniae	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Klebsiella pneumoniae ATCC 700603	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Mannheimia haemolytica	0.5	tentative
Amoxicillin-Clavulanic acid (fixed)	Pasteurella multocida	0.5	NA
Amoxicillin-Clavulanic acid (fixed)	Proteus mirabilis	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Proteus vulgaris	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Staphylococcus aureus	0.5	NA
Amoxicillin-Clavulanic acid (fixed)	Staphylococcus aureus ATCC 29213	NA	insufficient data
Amoxicillin-Clavulanic acid (fixed)	Staphylococcus pseudintermedius	0.03	NA
Amoxicillin-Clavulanic acid (fixed)	Streptococcus equi subspecies equi	0.06	NA
Amoxicillin-Clavulanic acid (fixed)	Streptococcus pneumoniae ATCC 49619	NA	insufficient data
Amoxicillin	Actinobacillus pleuropneumoniae	1	NA
Amoxicillin	Actinomyces israelii	NA	insufficient data
Amoxicillin	Bacillus anthracis	0.125	NA
Amoxicillin	Bacteroides fragilis	NA	insufficient data
Amoxicillin	Bacteroides fragilis group	NA	insufficient data
Amoxicillin	Bacteroides thetaiotaomicron	NA	insufficient data
Amoxicillin	Bordetella bronchiseptica	NA	insufficient data
Amoxicillin	Campylobacter coli	16	NA
Amoxicillin	Campylobacter jejuni	16	NA
Amoxicillin	Clostridioides difficile	NA	insufficient data
Amoxicillin	Clostridium perfringens	NA	insufficient data
Amoxicillin	Corynebacterium diphtheriae	NA	insufficient data
Amoxicillin	Corynebacterium ulcerans	NA	insufficient data
Amoxicillin	Cutibacterium acnes	NA	insufficient data
Amoxicillin	Enterobacter agglomerans	NA	insufficient data
Amoxicillin	Enterobacter cloacae	NA	insufficient data
Amoxicillin	Enterobacter dissolvens	NA	insufficient data
Amoxicillin	Enterococcus faecium	NA	insufficient data
Amoxicillin	Escherichia coli	8	NA
Amoxicillin	Escherichia coli ATCC 25922	NA	insufficient data
Amoxicillin	Haemophilus influenzae	2	NA
Amoxicillin	Haemophilus influenzae ATCC 49247	NA	insufficient data
Amoxicillin	Haemophilus influenzae ATCC 49766	NA	insufficient data
Amoxicillin	Haemophilus parainfluenzae	NA	insufficient data
Amoxicillin	Haemophilus parasuis	NA	insufficient data
Amoxicillin	Helicobacter pylori	NA	insufficient data
Amoxicillin	Kingella kingae	NA	insufficient data
Amoxicillin	Legionella pneumophila	NA	insufficient data
Amoxicillin	Mannheimia haemolytica	0.5	NA
Amoxicillin	Moraxella catarrhalis	0.03	tentative
Amoxicillin	Neisseria meningitidis	NA	insufficient data
Amoxicillin	Pasteurella multocida	0.5	NA
Amoxicillin	Proteus mirabilis	2	tentative
Amoxicillin	Salmonella enterica	4	NA
Amoxicillin	Staphylococcus aureus	0.5	NA
Amoxicillin	Staphylococcus aureus ATCC 29213	NA	insufficient data
Amoxicillin	Staphylococcus hyicus	0.5	tentative
Amoxicillin	Staphylococcus pseudintermedius	NA	insufficient data
Amoxicillin	Streptococcus agalactiae	0.125	NA
Amoxicillin	Streptococcus anginosus	NA	insufficient data
Amoxicillin	Streptococcus anginosus group	NA	unspecified
Amoxicillin	Streptococcus bovis	NA	insufficient data
Amoxicillin	Streptococcus bovis equinus group	NA	unspecified
Amoxicillin	Streptococcus constellatus	NA	unspecified
