drug	organism	mg_per_L	count
Amikacin	Acinetobacter baumannii	0.002	0
Amikacin	Acinetobacter pittii	0.002	0
Amikacin	Aeromonas caviae	0.002	0
Amikacin	Aeromonas hydrophila	0.002	0
Amikacin	Aeromonas veronii	0.002	0
Amikacin	Alcaligenes faecalis	0.002	0
Amikacin	Chryseobacterium spp	0.002	0
Amikacin	Citrobacter amalonaticus	0.002	0
Amikacin	Citrobacter braakii	0.002	0
Amikacin	Citrobacter freundii	0.002	0
Amikacin	Citrobacter koseri	0.002	0
Amikacin	Enterobacter amnigenus	0.002	0
Amikacin	Enterobacter asburiae	0.002	0
Amikacin	Enterobacter cloacae	0.002	0
Amikacin	Enterobacter sakazakii	0.002	0
Amikacin	Enterococcus faecalis	0.002	0
Amikacin	Enterococcus faecium	0.002	0
Amikacin	Escherichia coli	0.002	0
Amikacin	Escherichia coli ATCC 25922	0.002	0
Amikacin	Escherichia coli NCTC 13846	0.002	0
Amikacin	Haemophilus influenzae	0.002	0
Amikacin	Klebsiella aerogenes	0.002	0
Amikacin	Klebsiella oxytoca	0.002	0
Amikacin	Klebsiella ozaenae	0.002	0
Amikacin	Klebsiella pneumoniae	0.002	0
Amikacin	Lactobacillus reuteri	0.002	0
Amikacin	Morganella morganii	0.002	0
Amikacin	Mycobacterium abscessus	0.002	0
Amikacin	Mycobacterium avium	0.002	0
Amikacin	Mycobacterium avium ATCC 700898	0.002	0
Amikacin	Mycobacterium intracellulare	0.002	0
Amikacin	Mycobacterium tuberculosis	0.002	0
Amikacin	Mycobacterium tuberculosis 7H9	0.002	0
Amikacin	Nocardia abscessus	0.002	0
Amikacin	Nocardia cyriacigeorgica	0.002	0
Amikacin	Plesiomonas shigelloides	0.002	0
Amikacin	Proteus mirabilis	0.002	0
Amikacin	Proteus vulgaris	0.002	0
Amikacin	Pseudomonas aeruginosa	0.002	0
Amikacin	Pseudomonas aeruginosa ATCC 27853	0.002	0
Amikacin	Pseudomonas putida group	0.002	0
Amikacin	Pseudomonas stutzeri group	0.002	0
Amikacin	Salmonella enterica	0.002	0
Amikacin	Serratia marcescens	0.002	0
Amikacin	Staphylococcus aureus	0.002	0
Amikacin	Staphylococcus capitis	0.002	0
Amikacin	Staphylococcus epidermidis	0.002	0
Amikacin	Staphylococcus haemolyticus	0.002	0
Amikacin	Staphylococcus hominis	0.002	0
Amikacin	Staphylococcus warneri	0.002	0
Amikacin	Yersinia enterocolitica	0.002	0
Amikacin	Acinetobacter baumannii	0.004	0
Amikacin	Acinetobacter pittii	0.004	0
Amikacin	Aeromonas caviae	0.004	0
Amikacin	Aeromonas hydrophila	0.004	0
Amikacin	Aeromonas veronii	0.004	0
Amikacin	Alcaligenes faecalis	0.004	0
Amikacin	Chryseobacterium spp	0.004	0
Amikacin	Citrobacter amalonaticus	0.004	0
Amikacin	Citrobacter braakii	0.004	0
Amikacin	Citrobacter freundii	0.004	0
Amikacin	Citrobacter koseri	0.004	0
Amikacin	Enterobacter amnigenus	0.004	0
Amikacin	Enterobacter asburiae	0.004	0
Amikacin	Enterobacter cloacae	0.004	0
Amikacin	Enterobacter sakazakii	0.004	0
Amikacin	Enterococcus faecalis	0.004	0
Amikacin	Enterococcus faecium	0.004	0
Amikacin	Escherichia coli	0.004	0
Amikacin	Escherichia coli ATCC 25922	0.004	0
Amikacin	Escherichia coli NCTC 13846	0.004	0
Amikacin	Haemophilus influenzae	0.004	0
Amikacin	Klebsiella aerogenes	0.004	0
Amikacin	Klebsiella oxytoca	0.004	0
Amikacin	Klebsiella ozaenae	0.004	0
Amikacin	Klebsiella pneumoniae	0.004	0
Amikacin	Lactobacillus reuteri	0.004	0
Amikacin	Morganella morganii	0.004	0
Amikacin	Mycobacterium abscessus	0.004	0
Amikacin	Mycobacterium avium	0.004	0
Amikacin	Mycobacterium avium ATCC 700898	0.004	0
Amikacin	Mycobacterium intracellulare	0.004	0
Amikacin	Mycobacterium tuberculosis	0.004	0
Amikacin	Mycobacterium tuberculosis 7H9	0.004	0
Amikacin	Nocardia abscessus	0.004	0
Amikacin	Nocardia cyriacigeorgica	0.004	0
Amikacin	Plesiomonas shigelloides	0.004	0
Amikacin	Proteus mirabilis	0.004	0
Amikacin	Proteus vulgaris	0.004	0
Amikacin	Pseudomonas aeruginosa	0.004	0
Amikacin	Pseudomonas aeruginosa ATCC 27853	0.004	0
Amikacin	Pseudomonas putida group	0.004	0
Amikacin	Pseudomonas stutzeri group	0.004	0
Amikacin	Salmonella enterica	0.004	0
Amikacin	Serratia marcescens	0.004	0
Amikacin	Staphylococcus aureus	0.004	0
Amikacin	Staphylococcus capitis	0.004	0
Amikacin	Staphylococcus epidermidis	0.004	0
Amikacin	Staphylococcus haemolyticus	0.004	0
Amikacin	Staphylococcus hominis	0.004	0
Amikacin	Staphylococcus warneri	0.004	0
Amikacin	Yersinia enterocolitica	0.004	0
Amikacin	Acinetobacter baumannii	0.008	0
Amikacin	Acinetobacter pittii	0.008	0
Amikacin	Aeromonas caviae	0.008	0
Amikacin	Aeromonas hydrophila	0.008	0
Amikacin	Aeromonas veronii	0.008	0
Amikacin	Alcaligenes faecalis	0.008	0
Amikacin	Chryseobacterium spp	0.008	0
Amikacin	Citrobacter amalonaticus	0.008	0
Amikacin	Citrobacter braakii	0.008	0
Amikacin	Citrobacter freundii	0.008	0
Amikacin	Citrobacter koseri	0.008	0
Amikacin	Enterobacter amnigenus	0.008	0
Amikacin	Enterobacter asburiae	0.008	0
Amikacin	Enterobacter cloacae	0.008	0
Amikacin	Enterobacter sakazakii	0.008	0
Amikacin	Enterococcus faecalis	0.008	0
Amikacin	Enterococcus faecium	0.008	0
Amikacin	Escherichia coli	0.008	0
Amikacin	Escherichia coli ATCC 25922	0.008	0
Amikacin	Escherichia coli NCTC 13846	0.008	0
Amikacin	Haemophilus influenzae	0.008	0
Amikacin	Klebsiella aerogenes	0.008	0
Amikacin	Klebsiella oxytoca	0.008	0
Amikacin	Klebsiella ozaenae	0.008	0
Amikacin	Klebsiella pneumoniae	0.008	0
Amikacin	Lactobacillus reuteri	0.008	0
Amikacin	Morganella morganii	0.008	0
Amikacin	Mycobacterium abscessus	0.008	0
Amikacin	Mycobacterium avium	0.008	0
Amikacin	Mycobacterium avium ATCC 700898	0.008	0
Amikacin	Mycobacterium intracellulare	0.008	0
Amikacin	Mycobacterium tuberculosis	0.008	0
Amikacin	Mycobacterium tuberculosis 7H9	0.008	0
Amikacin	Nocardia abscessus	0.008	0
Amikacin	Nocardia cyriacigeorgica	0.008	0
Amikacin	Plesiomonas shigelloides	0.008	0
Amikacin	Proteus mirabilis	0.008	0
Amikacin	Proteus vulgaris	0.008	0
Amikacin	Pseudomonas aeruginosa	0.008	0
Amikacin	Pseudomonas aeruginosa ATCC 27853	0.008	0
Amikacin	Pseudomonas putida group	0.008	0
Amikacin	Pseudomonas stutzeri group	0.008	0
Amikacin	Salmonella enterica	0.008	0
Amikacin	Serratia marcescens	0.008	0
Amikacin	Staphylococcus aureus	0.008	2
Amikacin	Staphylococcus capitis	0.008	0
Amikacin	Staphylococcus epidermidis	0.008	0
Amikacin	Staphylococcus haemolyticus	0.008	0
Amikacin	Staphylococcus hominis	0.008	0
Amikacin	Staphylococcus warneri	0.008	0
Amikacin	Yersinia enterocolitica	0.008	0
Amikacin	Acinetobacter baumannii	0.016	0
Amikacin	Acinetobacter pittii	0.016	0
Amikacin	Aeromonas caviae	0.016	0
Amikacin	Aeromonas hydrophila	0.016	0
Amikacin	Aeromonas veronii	0.016	0
Amikacin	Alcaligenes faecalis	0.016	0
Amikacin	Chryseobacterium spp	0.016	0
Amikacin	Citrobacter amalonaticus	0.016	0
Amikacin	Citrobacter braakii	0.016	0
Amikacin	Citrobacter freundii	0.016	0
Amikacin	Citrobacter koseri	0.016	0
Amikacin	Enterobacter amnigenus	0.016	0
Amikacin	Enterobacter asburiae	0.016	0
Amikacin	Enterobacter cloacae	0.016	0
Amikacin	Enterobacter sakazakii	0.016	0
Amikacin	Enterococcus faecalis	0.016	0
Amikacin	Enterococcus faecium	0.016	0
Amikacin	Escherichia coli	0.016	2
Amikacin	Escherichia coli ATCC 25922	0.016	0
Amikacin	Escherichia coli NCTC 13846	0.016	0
Amikacin	Haemophilus influenzae	0.016	0
Amikacin	Klebsiella aerogenes	0.016	1
Amikacin	Klebsiella oxytoca	0.016	0
Amikacin	Klebsiella ozaenae	0.016	0
Amikacin	Klebsiella pneumoniae	0.016	0
Amikacin	Lactobacillus reuteri	0.016	0
Amikacin	Morganella morganii	0.016	0
Amikacin	Mycobacterium abscessus	0.016	0
Amikacin	Mycobacterium avium	0.016	0
Amikacin	Mycobacterium avium ATCC 700898	0.016	0
Amikacin	Mycobacterium intracellulare	0.016	0
Amikacin	Mycobacterium tuberculosis	0.016	0
Amikacin	Mycobacterium tuberculosis 7H9	0.016	0
Amikacin	Nocardia abscessus	0.016	0
Amikacin	Nocardia cyriacigeorgica	0.016	0
Amikacin	Plesiomonas shigelloides	0.016	0
Amikacin	Proteus mirabilis	0.016	0
Amikacin	Proteus vulgaris	0.016	0
Amikacin	Pseudomonas aeruginosa	0.016	0
Amikacin	Pseudomonas aeruginosa ATCC 27853	0.016	0
Amikacin	Pseudomonas putida group	0.016	0
Amikacin	Pseudomonas stutzeri group	0.016	0
Amikacin	Salmonella enterica	0.016	0
Amikacin	Serratia marcescens	0.016	0
Amikacin	Staphylococcus aureus	0.016	0
Amikacin	Staphylococcus capitis	0.016	0
Amikacin	Staphylococcus epidermidis	0.016	0
Amikacin	Staphylococcus haemolyticus	0.016	0
Amikacin	Staphylococcus hominis	0.016	0
Amikacin	Staphylococcus warneri	0.016	0
Amikacin	Yersinia enterocolitica	0.016	0
Amikacin	Acinetobacter baumannii	0.03	0
Amikacin	Acinetobacter pittii	0.03	0
Amikacin	Aeromonas caviae	0.03	0
Amikacin	Aeromonas hydrophila	0.03	0
Amikacin	Aeromonas veronii	0.03	0
Amikacin	Alcaligenes faecalis	0.03	0
Amikacin	Chryseobacterium spp	0.03	0
Amikacin	Citrobacter amalonaticus	0.03	0
Amikacin	Citrobacter braakii	0.03	0
Amikacin	Citrobacter freundii	0.03	0
Amikacin	Citrobacter koseri	0.03	0
Amikacin	Enterobacter amnigenus	0.03	0
Amikacin	Enterobacter asburiae	0.03	0
Amikacin	Enterobacter cloacae	0.03	0
Amikacin	Enterobacter sakazakii	0.03	0
Amikacin	Enterococcus faecalis	0.03	0
Amikacin	Enterococcus faecium	0.03	0
Amikacin	Escherichia coli	0.03	1
Amikacin	Escherichia coli ATCC 25922	0.03	0
Amikacin	Escherichia coli NCTC 13846	0.03	0
Amikacin	Haemophilus influenzae	0.03	0
Amikacin	Klebsiella aerogenes	0.03	0
Amikacin	Klebsiella oxytoca	0.03	0
Amikacin	Klebsiella ozaenae	0.03	0
Amikacin	Klebsiella pneumoniae	0.03	0
Amikacin	Lactobacillus reuteri	0.03	0
Amikacin	Morganella morganii	0.03	0
Amikacin	Mycobacterium abscessus	0.03	0
Amikacin	Mycobacterium avium	0.03	0
Amikacin	Mycobacterium avium ATCC 700898	0.03	0
Amikacin	Mycobacterium intracellulare	0.03	0
Amikacin	Mycobacterium tuberculosis	0.03	7
Amikacin	Mycobacterium tuberculosis 7H9	0.03	0
Amikacin	Nocardia abscessus	0.03	0
Amikacin	Nocardia cyriacigeorgica	0.03	0
Amikacin	Plesiomonas shigelloides	0.03	0
Amikacin	Proteus mirabilis	0.03	0
Amikacin	Proteus vulgaris	0.03	0
Amikacin	Pseudomonas aeruginosa	0.03	0
Amikacin	Pseudomonas aeruginosa ATCC 27853	0.03	0
Amikacin	Pseudomonas putida group	0.03	0
Amikacin	Pseudomonas stutzeri group	0.03	0
Amikacin	Salmonella enterica	0.03	0
Amikacin	Serratia marcescens	0.03	0
Amikacin	Staphylococcus aureus	0.03	1
Amikacin	Staphylococcus capitis	0.03	0
Amikacin	Staphylococcus epidermidis	0.03	0
Amikacin	Staphylococcus haemolyticus	0.03	0
Amikacin	Staphylococcus hominis	0.03	0
Amikacin	Staphylococcus warneri	0.03	0
Amikacin	Yersinia enterocolitica	0.03	0
Amikacin	Acinetobacter baumannii	0.06	0
Amikacin	Acinetobacter pittii	0.06	0
Amikacin	Aeromonas caviae	0.06	0
Amikacin	Aeromonas hydrophila	0.06	0
Amikacin	Aeromonas veronii	0.06	0
Amikacin	Alcaligenes faecalis	0.06	0
Amikacin	Chryseobacterium spp	0.06	0
Amikacin	Citrobacter amalonaticus	0.06	0
Amikacin	Citrobacter braakii	0.06	0
Amikacin	Citrobacter freundii	0.06	0
Amikacin	Citrobacter koseri	0.06	0
Amikacin	Enterobacter amnigenus	0.06	0
Amikacin	Enterobacter asburiae	0.06	0
Amikacin	Enterobacter cloacae	0.06	2
Amikacin	Enterobacter sakazakii	0.06	0
Amikacin	Enterococcus faecalis	0.06	0
Amikacin	Enterococcus faecium	0.06	0
Amikacin	Escherichia coli	0.06	0
Amikacin	Escherichia coli ATCC 25922	0.06	0
Amikacin	Escherichia coli NCTC 13846	0.06	0
Amikacin	Haemophilus influenzae	0.06	0
Amikacin	Klebsiella aerogenes	0.06	0
Amikacin	Klebsiella oxytoca	0.06	1
Amikacin	Klebsiella ozaenae	0.06	0
Amikacin	Klebsiella pneumoniae	0.06	0
Amikacin	Lactobacillus reuteri	0.06	0
Amikacin	Morganella morganii	0.06	0
Amikacin	Mycobacterium abscessus	0.06	0
Amikacin	Mycobacterium avium	0.06	0
Amikacin	Mycobacterium avium ATCC 700898	0.06	0
Amikacin	Mycobacterium intracellulare	0.06	0
Amikacin	Mycobacterium tuberculosis	0.06	0
Amikacin	Mycobacterium tuberculosis 7H9	0.06	0
Amikacin	Nocardia abscessus	0.06	0
Amikacin	Nocardia cyriacigeorgica	0.06	0
Amikacin	Plesiomonas shigelloides	0.06	0
Amikacin	Proteus mirabilis	0.06	0
Amikacin	Proteus vulgaris	0.06	0
Amikacin	Pseudomonas aeruginosa	0.06	0
Amikacin	Pseudomonas aeruginosa ATCC 27853	0.06	0
Amikacin	Pseudomonas putida group	0.06	0
Amikacin	Pseudomonas stutzeri group	0.06	0
Amikacin	Salmonella enterica	0.06	0
Amikacin	Serratia marcescens	0.06	0
Amikacin	Staphylococcus aureus	0.06	0
Amikacin	Staphylococcus capitis	0.06	0
Amikacin	Staphylococcus epidermidis	0.06	0
Amikacin	Staphylococcus haemolyticus	0.06	0
Amikacin	Staphylococcus hominis	0.06	0
Amikacin	Staphylococcus warneri	0.06	0
Amikacin	Yersinia enterocolitica	0.06	0
Amikacin	Acinetobacter baumannii	0.125	0
Amikacin	Acinetobacter pittii	0.125	0
Amikacin	Aeromonas caviae	0.125	0
Amikacin	Aeromonas hydrophila	0.125	0
Amikacin	Aeromonas veronii	0.125	0
Amikacin	Alcaligenes faecalis	0.125	0
Amikacin	Chryseobacterium spp	0.125	0
Amikacin	Citrobacter amalonaticus	0.125	0
Amikacin	Citrobacter braakii	0.125	0
Amikacin	Citrobacter freundii	0.125	0
Amikacin	Citrobacter koseri	0.125	0
